sl_20_5400_20250215 Coordinates.csv
2025/02/15 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:53 2024,
Start: 2025/02/15 07:47:00.00, Stop: 2025/02/15 09:17:00.00,
TIME_UNITS,STARLINK-5091 - X-Coordinate,STARLINK-6258 - X-Coordinate,STARLINK-31126 - X-Coordinate,STARLINK-1147 - X-Coordinate,STARLINK-30432 - X-Coordinate,STARLINK-11251 [DTC] - X-Coordinate,STARLINK-32155 - X-Coordinate,STARLINK-11078 [DTC] - X-Coordinate,STARLINK-2048 - X-Coordinate,STARLINK-1208 - X-Coordinate,STARLINK-5481 - X-Coordinate,STARLINK-4211 - X-Coordinate,STARLINK-1781 - X-Coordinate,STARLINK-30159 - X-Coordinate,STARLINK-32232 - X-Coordinate,STARLINK-2725 - X-Coordinate,STARLINK-1990 - X-Coordinate,STARLINK-5977 - X-Coordinate,STARLINK-2220 - X-Coordinate,STARLINK-11169 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5091 - Y-Coordinate,STARLINK-6258 - Y-Coordinate,STARLINK-31126 - Y-Coordinate,STARLINK-1147 - Y-Coordinate,STARLINK-30432 - Y-Coordinate,STARLINK-11251 [DTC] - Y-Coordinate,STARLINK-32155 - Y-Coordinate,STARLINK-11078 [DTC] - Y-Coordinate,STARLINK-2048 - Y-Coordinate,STARLINK-1208 - Y-Coordinate,STARLINK-5481 - Y-Coordinate,STARLINK-4211 - Y-Coordinate,STARLINK-1781 - Y-Coordinate,STARLINK-30159 - Y-Coordinate,STARLINK-32232 - Y-Coordinate,STARLINK-2725 - Y-Coordinate,STARLINK-1990 - Y-Coordinate,STARLINK-5977 - Y-Coordinate,STARLINK-2220 - Y-Coordinate,STARLINK-11169 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5091 - Z-Coordinate,STARLINK-6258 - Z-Coordinate,STARLINK-31126 - Z-Coordinate,STARLINK-1147 - Z-Coordinate,STARLINK-30432 - Z-Coordinate,STARLINK-11251 [DTC] - Z-Coordinate,STARLINK-32155 - Z-Coordinate,STARLINK-11078 [DTC] - Z-Coordinate,STARLINK-2048 - Z-Coordinate,STARLINK-1208 - Z-Coordinate,STARLINK-5481 - Z-Coordinate,STARLINK-4211 - Z-Coordinate,STARLINK-1781 - Z-Coordinate,STARLINK-30159 - Z-Coordinate,STARLINK-32232 - Z-Coordinate,STARLINK-2725 - Z-Coordinate,STARLINK-1990 - Z-Coordinate,STARLINK-5977 - Z-Coordinate,STARLINK-2220 - Z-Coordinate,STARLINK-11169 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
2700.000,-3220.2602,3589.2157,-6047.9792,3312.9825,-3075.7004,-2922.3169,5244.6722,4483.9375,-620.8601,-4740.1982,-986.9024,5459.7362,-2760.7178,1866.2243,4643.4456,1769.7721,2641.1920,4434.2823,6600.1803,-461.2846,34996.2429,32499.6817,32714.1352,37923.4256,29392.1410,32713.4908,35721.8778,36527.1866,98315456.1050,98309947.5514,98303337.5256,98318686.0591,35772.1816,98327866.1264,3964.0651,-5475.1619,3058.4103,4416.1669,-5829.7450,3269.6439,3367.9078,3701.0477,-6008.8424,5000.6325,6111.7316,-4240.3568,-6028.0850,-5618.4861,4510.0826,6689.7268,-6389.5870,4246.7131,131.6930,4455.9907,-401773.8490,-416834.1221,-394374.2180,-394951.7991,-396806.0180,-395685.7515,-403417.5080,-398402.8262,-28052554.0030,-28076011.8883,-28070542.0406,-28068063.4568,-399586.9007,-28063157.6736,-4697.6807,2278.8364,-1086.4460,-4185.5774,-2166.9470,-5079.6571,2733.2930,3390.8139,3361.3559,-662.3232,3119.9158,108.4540,1990.8391,-3623.9818,-2225.6138,-276.2737,-289.5185,3250.6632,2061.2640,5026.1641,3858.0268,5342.9951,2918.4763,8915.2213,9200.1644,-1036.9675,-3770.4063,2926.6203,50306125.4502,50287394.7833,50317046.0481,50319640.1194,4016.3693,50318410.9745,
3000.000,-1332.4183,1819.2226,-4845.7587,3897.9593,-4526.7169,-833.8889,5132.9720,4549.0844,-2061.2910,-3747.8630,844.5547,4478.0988,-3575.9424,281.1474,4910.6936,2859.1800,1370.0772,5404.2955,5779.8550,1589.9848,43983.7664,41269.6026,41287.1625,46431.7457,37847.2662,41130.5008,44208.7459,44952.4246,98909041.5303,98903950.7320,98897045.9004,98912303.9875,44248.7024,98921395.0520,4996.2269,-5702.5752,4161.5134,2546.7332,-5210.0286,3938.9752,1678.6483,1849.1538,-6361.4734,5702.6746,5525.6233,-4991.8559,-4742.5105,-6487.2958,2953.8366,6118.3752,-6464.6449,4185.3662,-1167.8367,3714.9184,-401248.7270,-416118.6117,-393461.5373,-394166.5885,-395993.1097,-394856.0260,-402494.4498,-397255.8280,-25894917.7935,-25918599.7618,-25913594.6516,-25911086.5843,-398747.3482,-25905574.7382,-4627.5112,3492.4059,-2516.6220,-5131.1178,-696.0674,-5368.4019,4137.8197,4599.5976,1761.4670,1148.1274,4097.7446,-1689.6625,3551.0534,-2450.7728,-3746.0180,1523.6156,-2059.6221,1260.0426,3608.8034,5384.3028,3857.2400,5192.4277,2866.0331,8612.5606,9181.7027,-954.3633,-4041.8021,3188.2792,50307540.6368,50288791.0453,50318153.8005,50320625.9805,3875.2717,50319837.0022,
3300.000,660.8925,-145.7423,-3152.8670,4156.3825,-5535.0536,1330.6068,4523.4722,4172.6307,-3279.0741,-2373.1885,2623.0718,3039.0371,-4076.0558,-1309.1725,4711.8674,3681.6359,-57.9772,5815.6146,4395.7771,3497.3443,52971.3140,50024.1162,49841.7678,54921.1432,46285.2119,49531.1742,52672.4276,53293.5038,99455285.6888,99450615.3823,99443437.2782,99458634.0098,52705.7069,99467585.4271,5584.7796,-5405.3624,4872.5519,425.2946,-4090.8764,4241.5527,-214.8391,-223.9848,-6090.6579,5846.5658,4431.5477,-5261.5654,-2979.3217,-6738.2588,1073.4430,4935.4817,-5908.1480,3712.4985,-2390.5504,2630.9297,-400453.0187,-415217.2413,-392372.2884,-393203.9682,-395001.7195,-393852.2520,-401390.4944,-396046.4980,-23724742.5551,-23748635.8606,-23744104.6195,-23741553.4925,-397727.9386,-23735455.4681,-4064.3880,4332.0386,-3669.5072,-5528.0297,849.2175,-5026.2273,5074.6909,5271.4334,-28.4753,2834.9076,4637.2537,-3305.5529,4729.4614,-1016.1245,-4850.7182,3159.6540,-3608.2125,-864.5247,4767.2076,5115.6588,3857.1143,5041.7537,2815.5101,8303.6497,9159.7553,-865.3905,-4308.0006,3502.8084,50308961.4366,50290189.5555,50319261.9885,50321609.3776,3734.1727,50321263.0829,
3600.000,2569.5034,-2118.9173,-1136.6262,4067.5795,-6012.9124,3335.2075,3489.5411,3403.2182,-4170.8133,-738.7045,4179.6002,1275.9370,-4224.9368,-2763.7773,4079.8352,4173.6077,-1516.6572,5642.9600,2590.6018,5052.6187,61938.4120,58759.2561,58374.1397,63387.7015,54702.1104,57912.2650,61109.0635,61561.6348,99953924.0554,99949676.6235,99942246.9814,99957409.0419,61139.3781,99966172.8405,5667.4161,-4619.7356,5132.2975,-1737.5673,-2569.4916,4139.8414,-2120.1904,-2296.2380,-5213.7059,5430.8948,2939.8100,-5038.6513,-912.3340,-6341.0243,-943.3006,3254.2912,-4784.7478,2853.4347,-3427.1712,1318.4235,-399397.4653,-414130.3475,-391106.9729,-392064.6955,-393832.1446,-392675.0395,-400106.3315,-394790.2779,-21543066.9380,-21567158.7771,-21563109.7040,-21560499.8990,-396529.1220,-21553838.3937,-3067.9464,4707.9649,-4418.6395,-5334.3339,2303.6051,-4092.9124,5438.2656,5328.0992,-1815.3750,4216.3273,4680.8389,-4565.5154,5399.5698,527.0425,-5418.0042,4455.9291,-4769.3820,-2897.3667,5411.7777,4251.3250,3854.4730,4890.9750,2766.7348,7988.3276,9134.3373,-769.9678,-4569.0580,3834.9267,50310387.8518,50291590.3402,50320370.6825,50322591.7718,3593.0724,50322689.2167,
3900.000,4213.4863,-3910.2217,1002.6157,3638.0210,-5923.9355,4962.7648,2143.4428,2325.0423,-4666.3589,1004.0655,5363.0556,-643.1902,-4015.6383,-3955.7578,3086.1048,4300.9356,-2872.8826,4921.0994,547.3920,6082.6316,70870.5662,67471.0638,66880.4779,71827.5003,63094.1051,66270.5821,69514.8160,69771.8303,100404714.8918,100400892.3607,100393233.0875,100408384.7031,69545.9089,100416915.6623,5226.9547,-3425.5012,4922.7673,-3727.3684,-783.4666,3633.1790,-3839.7542,-4142.7160,-3809.3917,4508.3651,1195.8225,-4358.4099,1253.3240,-5328.4206,-2891.9509,1239.2505,-3213.5438,1674.5013,-4181.2673,-90.0879,-398093.6859,-412858.3519,-389666.1686,-390749.6458,-392484.7695,-391325.0836,-398642.7262,-393491.7666,-19350935.1653,-19375212.6859,-19371653.2440,-19368967.3562,-395151.4296,-19361767.6133,-1744.0048,4580.0390,-4682.1299,-4570.6330,3511.3941,-2677.4544,5187.5485,4762.9242,-3406.7861,5143.7374,4223.8449,-5334.7240,5489.5312,2013.8393,-5385.6245,5273.2303,-5419.2994,-4623.2637,5473.2098,2891.6266,3847.5870,4740.0937,2719.5316,7666.4273,9105.4630,-668.0185,-4825.0276,4149.1242,50311819.8823,50292993.4262,50321479.9520,50323574.4935,3451.9709,50324115.4035,
4200.000,5440.1357,-5344.6172,3051.3919,2901.0004,-5285.6231,6038.5490,624.0020,1048.6223,-4733.7285,2688.7921,6055.0348,-2531.8930,-3470.0582,-4783.2864,1832.5687,4060.4462,-3998.6977,3738.8960,-1529.2047,6468.9413,79757.4929,76155.5900,75356.9941,80236.6144,71457.3517,74602.9965,77885.8699,77940.8915,100807439.3634,100804043.4001,100796176.5463,100811339.4549,77921.5045,100819595.1612,4294.3851,-1937.7800,4267.8022,-5346.7087,1101.7555,2759.6839,-5191.0833,-5560.1869,-2010.5722,3178.9193,-634.1432,-3296.8238,3301.7521,-3794.0252,-4571.8842,-910.5120,-1354.9282,278.0494,-4578.0465,-1457.1642,-396552.4058,-411401.7607,-388050.5289,-389259.8167,-390960.0654,-389803.1652,-397000.5188,-392144.9032,-17149396.5332,-17173846.8438,-17170783.6593,-17168002.7375,-393595.4733,-17160292.2941,-233.6442,3961.9315,-4431.2576,-3318.0396,4343.3459,-945.9887,4350.6693,3641.5719,-4631.9258,5517.4900,3315.0513,-5531.2276,4989.6393,3285.2273,-4757.1841,5523.9053,-5488.9483,-5860.4146,4944.8417,1194.7905,3835.6621,4589.1117,2673.7217,7337.7764,9073.1463,-559.4734,-5075.9601,4412.2113,50313257.5256,50294398.8407,50322589.8662,50324558.7547,3310.8683,50325541.6433,
4500.000,6138.3964,-6279.3143,4804.1604,1914.6056,-4166.4256,6449.6260,-917.6491,-300.3298,-4380.0648,4150.2507,6181.8774,-4203.2341,-2636.6249,-5178.1447,441.2212,3479.0351,-4783.0068,2227.9125,-3433.5122,6162.1091,88591.6150,84808.8969,83799.9142,88611.1116,79788.0199,82906.4492,86218.4343,86085.4516,101161901.6460,101158933.5558,101150881.2863,101166074.7247,86262.3837,101174015.6102,2947.4919,-295.9033,3230.2611,-6434.8670,2908.3660,1594.5995,-6026.4162,-6389.7142,8.8792,1578.5615,-2378.8079,-1961.8240,5027.8518,-1883.3921,-5806.6452,-2981.0956,605.9172,-1206.5069,-4571.7805,-2653.7397,-394782.9259,-409761.1647,-386260.7824,-387596.3334,-389258.5901,-388110.1530,-395180.6247,-390733.9028,-14939504.9090,-14964115.0876,-14961553.9490,-14958657.7209,-391861.9456,-14950466.1695,1301.6983,2919.7000,-3693.4294,-1710.0048,4710.5386,897.2921,3021.8739,2094.6911,-5359.9140,5297.4306,2051.5717,-5134.1945,3953.3613,4205.2404,-3601.7529,5181.0392,-4971.0162,-6479.1765,3883.3700,-641.3755,3818.4495,4438.0308,2629.1239,7002.1978,9037.3999,-444.2734,-5321.9036,4595.4280,50314700.7763,50295806.6112,50323700.4934,50325545.6605,3169.7646,50326967.9362,
4800.000,6249.1573,-6618.2589,6083.7243,757.8591,-2678.1157,6157.4172,-2333.0194,-1593.0751,-3648.9801,5240.5064,5722.8234,-5487.9941,-1586.2295,-5110.9815,-957.3308,2610.6018,-5142.3441,547.4249,-4979.3057,5188.3406,97367.0258,93427.0595,92205.4794,96947.0502,88082.2950,91177.9599,94508.7436,94220.2235,101467929.0208,101465389.7449,101457174.3109,101472415.0154,94564.7809,101480004.3822,1304.8023,1349.5654,1906.2024,-6884.1901,4463.0352,244.6448,-6249.2642,-6535.0916,2051.1533,-134.7110,-3877.9782,-482.3679,6258.0534,220.0716,-6462.5298,-4765.1655,2477.2418,-2634.6023,-4151.2272,-3571.2282,-392793.1466,-407937.2390,-384297.7329,-385760.4544,-387380.9869,-386247.0050,-393184.0341,-389234.7443,-12722318.2258,-12747075.3296,-12745021.1881,-12741988.2721,-389951.6193,-12733347.0352,2697.6067,1564.8477,-2549.3295,81.4797,4573.7630,2634.3431,1351.1994,302.9369,-5513.3159,4507.0829,568.5687,-4185.9488,2491.8294,4675.5884,-2046.7135,4281.2637,-3920.5844,-6414.8957,2402.9800,-2402.8492,3795.9973,4286.8531,2585.5544,6659.5115,8998.2361,-322.3743,-5562.9038,4676.0829,50316149.6269,50297216.7658,50324811.9018,50326536.2194,3028.6599,50328394.2820,
5100.000,5770.2147,-6322.3783,6759.2769,-474.9826,-964.4481,5201.4815,-3490.5920,-2710.0028,-2615.0341,5844.0121,4713.1862,-6251.7241,-406.5841,-4593.0168,-2235.7849,1531.1980,-5029.8644,-1132.2912,-6018.3568,3647.2771,106078.8326,102006.1680,100569.9475,105240.4748,96336.3794,99414.6369,102753.0591,102356.5340,101725371.9588,101723262.0725,101714905.7821,101730208.0024,102824.9474,101737412.0338,-484.7529,2850.6107,416.4264,-6651.3620,5613.5571,-1161.3949,-5826.1094,-5974.6148,3913.7713,-1796.4936,-4997.3867,1003.7177,6868.2397,2312.9766,-6463.5750,-6082.8487,4079.2119,-3860.3061,-3342.3393,-4131.0738,-390589.7787,-405930.7424,-382162.2586,-383753.5792,-385327.9844,-384214.7713,-391011.8116,-387617.0473,-10498897.9765,-10523789.0513,-10522246.0220,-10519054.1259,-387865.3470,-10509996.2427,3804.5304,42.4455,-1124.4394,1864.1834,3947.6193,4059.5509,-472.3732,-1524.2477,-5075.9108,3231.2496,-975.2669,-2787.7274,762.1391,4646.0671,-264.2280,2921.0074,-2449.6085,-5674.1287,663.2672,-3884.8174,3768.5044,4135.5802,2542.8277,6309.5366,8955.6658,-193.7521,-5799.0038,4638.7454,50317604.0671,50298629.3329,50325924.1587,50327531.3537,2887.5543,50329820.6809,
5400.000,4755.4231,-5414.2807,6760.2400,-1681.6770,812.7460,3693.9624,-4288.0771,-3551.5193,-1376.1494,5890.2129,3241.9154,-6409.1461,804.7300,-3674.3075,-3281.5490,332.6886,-4441.5958,-2646.8796,-6455.0922,1701.1995,114722.7574,110542.3289,108889.5947,113487.4114,104546.4942,107613.6884,110947.6700,110501.1926,101934104.1938,101932423.9043,101923949.0949,101939324.6165,111039.1537,101946112.3782,-2255.4390,4075.1023,-1104.1294,-5761.9656,6243.8537,-2484.8654,-4791.4198,-4764.2787,5409.3630,-3251.7632,-5640.7606,2362.2680,6796.8397,4191.7384,-5801.0072,-6800.2805,5261.1971,-4750.9793,-2207.6077,-4290.7422,-388178.5841,-403742.5177,-379855.3121,-381577.2556,-383100.3956,-382014.5965,-388665.0960,-385846.2213,-8270308.7053,-8295320.7953,-8294292.1591,-8290918.2671,-385604.0607,-8281478.1909,4503.9607,-1484.5215,424.4465,3446.5148,2898.9956,5004.4665,-2242.5709,-3173.5715,-4094.2671,1607.1624,-2414.9112,-1089.3619,-1049.5747,4119.8130,1547.6318,1246.4075,-715.4656,-4334.0809,-1148.0279,-4915.6955,3736.2381,3984.2140,2500.7564,5952.0944,8909.6995,-58.4100,-6030.2444,4476.0389,50319064.0843,50300044.3416,50327037.3311,50328531.9075,2746.4480,50331247.1328,
