sl_20_5400_20280229 Coordinates.csv
2028/02/29 07:47:00.0000 UTC

Generated: Tue Oct  8 21:40:14 2024,
Start: 2028/02/29 07:47:00.00, Stop: 2028/02/29 09:17:00.00,
TIME_UNITS,STARLINK-3005 - X-Coordinate,STARLINK-5386 - X-Coordinate,STARLINK-5477 - X-Coordinate,STARLINK-5136 - X-Coordinate,STARLINK-11191 [DTC] - X-Coordinate,STARLINK-32103 - X-Coordinate,STARLINK-4343 - X-Coordinate,STARLINK-3304 - X-Coordinate,STARLINK-4533 - X-Coordinate,STARLINK-32220 - X-Coordinate,STARLINK-30461 - X-Coordinate,STARLINK-1471 - X-Coordinate,STARLINK-30197 - X-Coordinate,STARLINK-5919 - X-Coordinate,STARLINK-11179 [DTC] - X-Coordinate,STARLINK-3267 - X-Coordinate,STARLINK-5053 - X-Coordinate,STARLINK-30926 - X-Coordinate,STARLINK-31368 - X-Coordinate,STARLINK-30925 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3005 - Y-Coordinate,STARLINK-5386 - Y-Coordinate,STARLINK-5477 - Y-Coordinate,STARLINK-5136 - Y-Coordinate,STARLINK-11191 [DTC] - Y-Coordinate,STARLINK-32103 - Y-Coordinate,STARLINK-4343 - Y-Coordinate,STARLINK-3304 - Y-Coordinate,STARLINK-4533 - Y-Coordinate,STARLINK-32220 - Y-Coordinate,STARLINK-30461 - Y-Coordinate,STARLINK-1471 - Y-Coordinate,STARLINK-30197 - Y-Coordinate,STARLINK-5919 - Y-Coordinate,STARLINK-11179 [DTC] - Y-Coordinate,STARLINK-3267 - Y-Coordinate,STARLINK-5053 - Y-Coordinate,STARLINK-30926 - Y-Coordinate,STARLINK-31368 - Y-Coordinate,STARLINK-30925 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3005 - Z-Coordinate,STARLINK-5386 - Z-Coordinate,STARLINK-5477 - Z-Coordinate,STARLINK-5136 - Z-Coordinate,STARLINK-11191 [DTC] - Z-Coordinate,STARLINK-32103 - Z-Coordinate,STARLINK-4343 - Z-Coordinate,STARLINK-3304 - Z-Coordinate,STARLINK-4533 - Z-Coordinate,STARLINK-32220 - Z-Coordinate,STARLINK-30461 - Z-Coordinate,STARLINK-1471 - Z-Coordinate,STARLINK-30197 - Z-Coordinate,STARLINK-5919 - Z-Coordinate,STARLINK-11179 [DTC] - Z-Coordinate,STARLINK-3267 - Z-Coordinate,STARLINK-5053 - Z-Coordinate,STARLINK-30926 - Z-Coordinate,STARLINK-31368 - Z-Coordinate,STARLINK-30925 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
2700.000,923.0687,-5466.3150,-5721.6478,-4570.4518,456.8509,5103.2750,5082.2111,5002.8986,-6121.6768,1089.1153,-5359.7715,-1697.9302,-2551.1354,-1979.2559,-4283.6467,4640.6577,-6032.7464,-985.2306,-5992.3811,5083.7458,27489.5493,15340.7548,22478.2134,21476.8130,12871.2049,15350.6589,19495.2627,20671.6131,-177834293.7503,-177823838.0625,-177819852.1274,-177815698.9597,19565.5170,-177817258.9283,-5290.3187,3577.1027,3499.6088,2316.9023,4013.4942,1859.9267,4434.8173,4704.0013,-3140.7545,-6733.0906,-3015.1525,-6404.7815,4870.8331,-2596.2202,-4724.4254,282.9671,2523.8986,5304.1911,518.8128,-1260.0468,404331.9908,371535.9716,392665.4782,391990.6297,390241.3486,389762.0825,384349.6557,387597.3442,303564248.4966,303540968.3571,303569317.7310,303574058.7141,387523.4881,303563558.2608,4360.1054,2310.6681,1802.5347,4657.6602,-5387.5255,-4092.0285,1626.8699,-720.6396,-368.8602,731.9601,-3103.8165,-1997.2983,4216.1588,-6131.5622,2210.1310,-5118.0214,2211.9508,-4355.0303,3235.3497,4439.0061,98496.6560,96037.1407,96847.1655,96427.0608,101314.5325,93620.9891,86236.4274,93804.3814,-42478227.8445,-42444430.9155,-42450018.4867,-42458610.3728,95172.2879,-42466970.8917,
3000.000,1090.5761,-4730.2157,-5562.3304,-3621.2923,2597.6926,6031.5300,4897.7401,5446.4940,-6278.5388,-198.3101,-6436.9627,-2955.7733,-455.7025,-3926.8985,-4645.0140,3800.5781,-4720.5320,915.2561,-6350.1513,4760.2837,18850.6886,7385.6282,14368.0075,13299.8043,4638.4254,7225.2963,11234.5193,12029.2051,-184419449.5847,-184408709.6788,-184405591.7955,-184401515.8566,11354.6163,-184402484.8849,-3547.1983,4993.3367,4151.8035,4189.1376,3562.0876,135.1059,4880.2772,3461.3004,-1869.4979,-6393.0351,-1676.2522,-6252.0918,5090.0663,-2634.1536,-3164.2224,-1683.0345,3375.0767,5896.6240,1944.8188,-3275.9440,404824.4027,371672.0167,392872.7418,392108.0118,390515.7148,389980.6287,384691.6720,387855.2441,299611240.5853,299587482.9794,299615959.7286,299620875.9734,387813.1781,299610508.9321,5834.2519,856.8331,-309.9185,4159.1011,-5089.6313,-3137.2890,-610.5593,-2459.9952,-2140.1747,2472.9206,-1787.1578,-222.6531,4677.5406,-5088.5205,3733.1542,-5526.1409,3735.1760,-3529.5848,1604.0966,3709.6231,98591.3131,96127.4429,97027.2373,96324.6890,101471.7781,94028.1864,86282.1881,93656.1285,-42471786.2356,-42437979.2888,-42443324.5749,-42451856.6871,95280.9941,-42460426.4726,
3300.000,1057.0761,-3541.8753,-4834.4782,-2359.8190,4465.0393,6356.1596,4186.3581,5366.8506,-5816.1403,-1492.9674,-6878.0084,-3917.5590,1688.3795,-5463.3724,-4547.7772,2637.8231,-2931.0006,2704.5120,-6060.1499,3997.7176,10202.8685,-567.8506,6253.7305,5120.4690,-3596.8901,-886.1030,2968.0926,3331.3655,-190916765.9510,-190905722.8770,-190903475.1639,-190899485.3681,3140.2719,-190899869.0468,-1422.5774,5920.1808,4384.6149,5663.7230,2786.6118,-1577.4587,4788.8314,1854.3643,-389.1983,-5407.4094,-188.8468,-5478.9379,4861.0650,-2470.7162,-1245.5185,-3513.1971,3930.8569,5943.5880,3153.3056,-4957.7306,405131.0267,371639.2182,392903.2177,392038.1498,390615.0903,390021.8610,384857.5909,387915.7904,295515404.2102,295491173.4750,295519747.1953,295524824.6728,387928.9011,295514628.1027,6681.4557,-688.8563,-2389.4363,3214.6398,-4199.3764,-1827.0729,-2782.8685,-3933.0633,-3678.3181,3940.4425,-275.4042,1575.9585,4638.2921,-3505.4850,4823.5166,-5340.1878,4853.5826,-2326.7101,-206.5842,2572.2077,98685.6981,96217.6090,97203.9294,96218.1834,101625.8077,94440.2215,86332.4881,93638.3589,-42465339.3875,-42431530.0219,-42436641.4632,-42445116.3571,95389.6452,-42453881.9508,
3600.000,814.6796,-2004.8678,-3597.5469,-899.6512,5854.8637,6035.4967,3047.9578,4786.1729,-4791.7700,-2678.6858,-6637.9139,-4505.8663,3672.3373,-6434.4077,-4014.7319,1266.5240,-843.0709,4216.3289,-5143.1635,2860.9728,1550.1164,-8516.1286,-1860.9532,-3058.0293,-11831.0543,-8978.0075,-5300.2352,-5378.6223,-197323145.4968,-197311780.3828,-197310403.7280,-197306507.7644,-5073.8304,-197306313.9327,847.7335,6276.9763,4197.8369,6594.6315,1759.8425,-3112.1137,4150.1868,33.8956,1165.7313,-3882.4702,1314.6366,-4153.1420,4205.6814,-2101.1986,830.2898,-5023.6627,4148.6128,5430.7632,4038.1547,-6139.3397,405251.6938,371437.7009,392756.9848,391779.6108,390539.5176,389885.7544,384847.2807,387781.9596,291278690.4032,291253991.5045,291282632.0432,291287856.3074,387870.6424,291277866.9080,6811.1125,-2160.7922,-4215.1732,1925.4121,-2819.7116,-309.5704,-4658.7366,-4981.0963,-4816.3444,4972.4484,1266.4273,3204.6730,4102.5674,-1549.6693,5355.1831,-4580.0499,5446.2275,-874.7207,-1994.2075,1151.7881,98779.8121,96307.6418,97377.1121,96107.9687,101776.6378,94856.3836,86387.2997,93760.7810,-42458887.2561,-42425083.0668,-42429969.0154,-42438389.7935,95498.2413,-42447337.3264,
3900.000,388.3479,-257.4282,-1965.4539,629.5514,6614.0010,5093.9761,1626.5246,3773.1090,-3317.0067,-3645.5824,-5740.1219,-4679.2720,5302.5396,-6744.8273,-3109.4089,-184.4137,1333.7177,5313.0678,-3685.9922,1449.8711,-7103.5365,-16455.6567,-9972.3833,-11232.7089,-20060.3799,-17044.6751,-13566.6785,-14057.0427,-203635534.1858,-203623828.2582,-203623322.3529,-203619526.6490,-13284.0058,-203618765.3821,3012.9830,6038.8138,3632.0153,6888.4848,576.0382,-4323.2422,3017.4028,-1825.1233,2649.6449,-1978.7054,2700.2322,-2399.4685,3182.1951,-1537.3477,2842.0867,-6058.8765,4013.5433,4396.8386,4527.2747,-6705.8990,405186.3227,371067.6647,392434.2028,391330.8667,390289.1158,389572.3303,384660.6942,387460.1090,286903117.3529,286877955.8836,286906633.3831,286911989.6545,387638.4652,286902243.6454,6209.2646,-3401.6073,-5594.2351,429.6535,-1110.8674,1243.0728,-6039.4509,-5491.6561,-5431.2724,5455.2154,2669.7573,4487.9939,3127.5720,571.2466,5266.7875,-3326.9603,5449.1092,671.0190,-3559.2669,-395.3574,98873.6559,96397.5441,97546.6625,95994.6453,101924.2832,95275.6965,86446.5971,94021.2593,-42452429.7994,-42418638.3760,-42423307.0903,-42431677.4105,95606.7821,-42440792.5992,
4200.000,-166.6707,1540.1094,-95.5044,2093.4904,6657.7457,3620.8989,91.6749,2434.2956,-1545.0606,-4300.0149,-4274.2458,-4434.5086,6419.5973,-6368.6603,-1928.3227,-1583.0904,3380.3877,5898.3734,-1832.8488,-109.3860,-15754.0581,-24382.8919,-18076.9054,-19400.8256,-28281.1812,-25080.1403,-21827.4499,-22663.4873,-209850922.7538,-209838857.3570,-209839220.7292,-209835530.4196,-21486.5720,-209834214.0114,4835.1319,5237.5966,2761.4571,6514.3030,-657.0768,-5099.1628,1502.0932,-3540.2236,3919.1124,106.5628,3844.2782,-387.5316,1880.3444,-809.1334,4572.6129,-6507.7888,3539.2341,2931.2411,4587.7904,-6605.1820,404934.9204,370529.3834,391935.1121,390690.2870,389864.0804,389081.6473,384297.8693,386959.3191,282390769.4432,282365151.6211,282393836.5596,282399309.8122,387232.5110,282389842.8131,4940.0480,-4279.0724,-6381.8460,-1112.1935,727.8412,2654.4232,-6779.6437,-5410.1808,-5456.9020,5335.6725,3781.1216,5287.8741,1817.5841,2631.1593,4568.4701,-1715.2602,4861.8643,2144.7461,-4727.7410,-1899.0569,98967.2306,96487.3188,97712.4643,95879.0509,102068.7576,95696.8293,86510.3568,94406.3372,-42445966.9781,-42412195.9034,-42416655.5428,-42424979.6269,95715.2678,-42434247.7694,
4500.000,-771.7454,3220.0469,1827.1081,3364.9567,5980.0559,1762.0164,-1381.6307,903.0137,345.2670,-4573.4902,-2386.8087,-3804.9804,6914.3220,-5351.5958,-590.7328,-2806.3614,5090.5813,5925.6904,229.4291,-1675.4247,-24397.4163,-32294.2981,-26170.8727,-27559.9425,-36489.7763,-33078.2142,-30078.7624,-31164.0044,-215966348.1433,-215953904.7592,-215955134.8091,-215951553.7060,-29677.8511,-215949696.6484,6115.1880,3957.5289,1684.4143,5506.8842,-1827.6593,-5372.3590,-237.0378,-4939.0898,4846.4679,2159.8368,4644.2975,1684.9823,413.7287,35.3619,5831.9397,-6316.3067,2766.2964,1166.6292,4227.0680,-5852.3532,404497.5818,369823.2057,391260.0336,389856.1460,389264.6837,388413.7893,383758.9282,386290.4020,277743796.2605,277717728.9259,277746392.1565,277751967.2080,386652.9990,277742814.1165,3139.2834,-4700.0042,-6495.8226,-2534.9146,2481.3412,3764.0781,-6801.7745,-4745.4429,-4890.5205,4627.0198,4479.1002,5518.4375,312.8892,4410.1179,3340.7803,81.5887,3747.8270,3388.2807,-5370.2609,-3194.2107,99060.5371,96576.9683,97874.4082,95762.3421,102210.0735,96117.9781,86578.5568,94892.8773,-42439498.7551,-42405755.6038,-42410014.2246,-42418296.8663,95823.6981,-42427702.8369,
4800.000,-1335.4156,4622.7826,3607.5104,4334.7255,4654.6092,-295.1603,-2632.7574,-673.8753,2167.3989,-4429.8830,-266.1915,-2856.1997,6738.7737,-3805.3077,773.1763,-3750.5713,6291.5666,5401.6715,2290.4246,-3104.4550,-33029.5818,-40186.3484,-34250.6478,-35708.0160,-44682.4879,-41032.5090,-38316.8312,-39533.3351,-221978894.9155,-221966055.1837,-221968148.2190,-221964678.7878,-37854.1711,-221962297.7456,6715.5959,2325.9003,511.9251,3963.3350,-2829.5810,-5124.9653,-2010.8305,-5876.6572,5332.4610,3973.3315,5027.9117,3611.8975,-1089.9172,932.2025,6478.6381,-5494.2964,1759.1995,-733.1884,3489.9771,-4527.5294,403874.4901,368949.5541,390409.3678,388826.6544,388491.2745,387568.8553,383044.0777,385464.7280,272964411.5697,272937902.1822,272966514.9691,272972176.5759,385900.2264,272963371.4448,1000.4248,-4619.8327,-5924.4406,-3686.4351,3944.3972,4446.0539,-6103.5490,-3568.6470,-3793.1567,3407.3096,4687.5380,5154.9451,-1225.3287,5718.3046,1725.6997,1869.5947,2227.4392,4268.1987,-5415.9189,-4139.0357,99153.5762,96666.4952,98032.3925,95646.1033,102348.2421,96536.7106,86651.1772,95450.4808,-42433025.0957,-42399317.4329,-42403382.9842,-42411629.5579,95932.0730,-42421157.8018,
5100.000,-1766.3243,5611.6981,5060.5304,4920.5738,2826.4120,-2340.5609,-3532.6011,-2149.7027,3745.1365,-3870.2698,1876.4258,-1678.8830,5911.0220,-1894.5736,2034.7729,-4340.1983,6862.1731,4384.2932,4137.3971,-4263.2681,-41646.5295,-48055.5263,-42312.6045,-43843.4965,-52855.6458,-48936.5094,-46537.8754,-47756.1212,-227885696.6406,-227872442.3776,-227875393.6496,-227872036.9881,-46011.8674,-227869150.7692,6575.9014,500.3519,-643.4639,2033.2423,-3571.7062,-4389.1771,-3619.8910,-6250.2915,5317.0149,5366.1454,4959.1277,5199.0683,-2499.7531,1805.9235,6436.2946,-4115.8823,601.3632,-2588.6220,2453.1814,-2766.7173,403065.9164,367908.9250,389383.5946,387600.0369,387544.2783,386546.9523,382153.6089,384493.0257,268054892.2599,268027948.8944,268056482.9473,268062215.9033,384974.5679,268053791.8155,-1246.2117,-4047.0869,-4727.4778,-4444.0796,4946.0034,4623.0306,-4758.1263,-2006.2177,-2283.3792,1811.0868,4383.7122,4236.3513,-2632.4858,6416.3992,-89.5708,3455.4471,465.4406,4690.1834,-4859.6394,-4630.4391,99246.3488,96755.9021,98186.3224,95532.4868,102483.2735,96949.7684,86728.1996,96044.2933,-42426545.9676,-42392881.3473,-42396761.6678,-42404978.1373,96040.3925,-42414612.6641,
5400.000,-1986.7034,6086.3343,6029.8132,5073.7222,695.2690,-4163.1228,-3996.9116,-3391.4562,4929.6989,-2934.6247,3828.1791,-380.4001,4513.0279,180.8690,3078.9941,-4533.4966,6745.5788,2976.1786,5576.9010,-5041.2978,-50244.2408,-55898.3271,-50353.1289,-51965.4346,-61005.5881,-56783.7232,-54738.1201,-55827.1461,-233683937.2642,-233670250.4830,-233674054.2228,-233670810.0454,-54147.2847,-233667439.5668,5719.2920,-1346.1537,-1678.2106,-96.2158,-3985.7018,-3242.9210,-4876.7334,-6011.5052,4786.9336,6202.6815,4441.6256,6284.0662,-3693.0962,2575.5879,5703.0664,-2312.7225,-611.3204,-4221.3611,1217.2702,-747.4768,402072.2199,366701.8886,388183.2730,386174.6838,386424.1968,385348.1976,381087.8973,383384.2829,263017577.2596,262990208.6020,263018636.1084,263024425.3473,383876.4759,263016414.2903,-3358.8227,-3042.5211,-3030.4497,-4727.4002,5369.3628,4274.9588,-2907.1196,-226.6707,-524.9626,14.6984,3600.7466,2861.2946,-3758.4072,6430.1362,-1894.4832,4667.7614,-1347.0545,4609.0302,-3762.7200,-4614.9391,99338.8559,96845.1914,98336.1112,95424.3853,102615.1764,97352.8263,86809.6078,96637.8482,-42420061.3412,-42386447.3047,-42390150.1194,-42398343.0468,96148.6565,-42408067.4238,
