sl_20_5400_20241015 Coordinates.csv
2024/10/15 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:27 2024,
Start: 2024/10/15 07:47:00.00, Stop: 2024/10/15 09:17:00.00,
TIME_UNITS,STARLINK-11261 [DTC] - X-Coordinate,STARLINK-30340 - X-Coordinate,STARLINK-30473 - X-Coordinate,STARLINK-4325 - X-Coordinate,STARLINK-11097 [DTC] - X-Coordinate,STARLINK-5901 - X-Coordinate,STARLINK-5913 - X-Coordinate,STARLINK-31362 - X-Coordinate,STARLINK-2500 - X-Coordinate,STARLINK-3565 - X-Coordinate,STARLINK-2160 - X-Coordinate,STARLINK-6268 - X-Coordinate,STARLINK-5894 - X-Coordinate,STARLINK-2728 - X-Coordinate,STARLINK-30137 - X-Coordinate,STARLINK-5698 - X-Coordinate,STARLINK-3607 - X-Coordinate,STARLINK-6285 - X-Coordinate,STARLINK-1580 - X-Coordinate,STARLINK-5238 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11261 [DTC] - Y-Coordinate,STARLINK-30340 - Y-Coordinate,STARLINK-30473 - Y-Coordinate,STARLINK-4325 - Y-Coordinate,STARLINK-11097 [DTC] - Y-Coordinate,STARLINK-5901 - Y-Coordinate,STARLINK-5913 - Y-Coordinate,STARLINK-31362 - Y-Coordinate,STARLINK-2500 - Y-Coordinate,STARLINK-3565 - Y-Coordinate,STARLINK-2160 - Y-Coordinate,STARLINK-6268 - Y-Coordinate,STARLINK-5894 - Y-Coordinate,STARLINK-2728 - Y-Coordinate,STARLINK-30137 - Y-Coordinate,STARLINK-5698 - Y-Coordinate,STARLINK-3607 - Y-Coordinate,STARLINK-6285 - Y-Coordinate,STARLINK-1580 - Y-Coordinate,STARLINK-5238 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11261 [DTC] - Z-Coordinate,STARLINK-30340 - Z-Coordinate,STARLINK-30473 - Z-Coordinate,STARLINK-4325 - Z-Coordinate,STARLINK-11097 [DTC] - Z-Coordinate,STARLINK-5901 - Z-Coordinate,STARLINK-5913 - Z-Coordinate,STARLINK-31362 - Z-Coordinate,STARLINK-2500 - Z-Coordinate,STARLINK-3565 - Z-Coordinate,STARLINK-2160 - Z-Coordinate,STARLINK-6268 - Z-Coordinate,STARLINK-5894 - Z-Coordinate,STARLINK-2728 - Z-Coordinate,STARLINK-30137 - Z-Coordinate,STARLINK-5698 - Z-Coordinate,STARLINK-3607 - Z-Coordinate,STARLINK-6285 - Z-Coordinate,STARLINK-1580 - Z-Coordinate,STARLINK-5238 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
2700.000,5768.6730,4311.4512,256.5226,4763.7551,1604.1078,5746.7163,-1691.6250,5776.1366,6810.1035,6287.1151,-6271.8352,2979.6458,-5043.6947,-3925.6110,-3860.0213,4945.3612,5822.4178,-5110.0918,-3878.0924,-3624.8243,340301.5900,328029.3333,340500.1825,337474.1907,340182.7538,339428.2629,331205.4109,334649.4545,-123276054.4926,-123290247.5726,-123289722.9855,-123298223.0525,334566.2861,-123291718.4622,2590.1925,3116.1615,-6155.0069,4849.9841,-5671.8689,3734.8190,1872.6457,-2710.5245,-772.1011,2862.7797,-983.1534,6148.6080,-4743.4326,-3872.3028,-3502.9188,1679.8927,2824.4520,-2434.7330,-4669.0286,-4771.9176,-134292.4632,-113329.6612,-129132.9106,-134023.8233,-125800.0054,-129452.3999,-127865.5004,-130876.2423,-98073124.7741,-98053591.6160,-98042544.8882,-98070472.5343,-129924.9511,-98064392.7931,-2333.5298,4441.8299,-3196.1254,-1424.9011,-3271.7110,-1075.0192,6469.9720,-2509.3739,996.6092,351.3828,2755.9000,-1209.5569,-648.6858,4180.1553,4567.7381,4554.4229,-2451.0433,3998.7780,-3338.3849,-3465.6437,-26226.0569,-26697.8462,-27597.1351,-20973.9129,-21254.7379,-31601.5759,-33818.0623,-27710.2343,65342141.0291,65321610.8402,65338023.7936,65342823.8464,-26222.1354,65351927.4040,
3000.000,5457.2442,5648.3478,-1502.5612,3878.5772,-88.9191,6483.8821,368.3643,4353.1645,6079.3804,6554.4917,-6836.6229,4093.0847,-5352.4857,-5463.9164,-5325.4192,5055.0220,5562.7291,-5172.7254,-4286.7334,-5056.3747,342980.1703,330425.1835,343197.2857,340077.3938,342834.4994,342124.9944,333931.8528,337590.7900,-121101907.6363,-121116326.1564,-121116256.6704,-121123808.1272,337230.3305,-121117646.9667,994.6485,1602.3577,-5356.8278,4569.0823,-5000.6268,2417.6519,2671.5214,-3509.5144,-1918.2017,1670.9063,263.4409,4955.1699,-4185.2526,-3207.7470,-2053.1399,-467.6147,1242.0044,-363.3970,-2932.4855,-4335.7226,-126816.3819,-106431.3824,-122174.7682,-126950.2432,-118685.7625,-122317.8216,-120844.0037,-124101.9643,-100740928.1664,-100721651.5685,-100710445.3932,-100738732.1237,-122846.3643,-100732153.1422,-3831.0952,3684.7447,-4149.5735,-3513.9080,-4521.6732,467.1272,6399.4641,-3969.5468,2700.7459,-1456.2377,1058.3767,-2618.6589,1472.4520,2786.4253,3934.1540,4716.8032,-3926.3754,4596.6949,-4585.0641,-1881.6623,-26120.1695,-26554.7479,-27359.5465,-20970.7491,-20967.9432,-31230.3333,-33800.0750,-27249.6897,65340426.9356,65319808.2936,65335903.4440,65341205.8282,-26065.9151,65350052.5784,
3300.000,4588.9459,6454.1402,-3148.4365,2607.9163,-1812.1077,6594.9933,2358.8173,2480.8490,4746.5879,6176.7712,-6724.8910,4835.6941,-5130.8283,-6454.1286,-6292.3490,4720.8394,4782.1873,-4777.5561,-4322.3429,-5975.6891,345486.7977,332676.5208,345741.3524,342528.9218,345333.7774,344665.8579,336511.6262,340364.5468,-118870047.4381,-118884679.9868,-118885072.2986,-118891651.9615,339744.5840,-118885864.3601,-741.5550,-34.7803,-4066.4985,3758.7975,-3827.7757,862.1904,3277.8334,-3995.7483,-2904.7634,297.8236,1471.9934,3277.2841,-3187.5900,-2255.9871,-438.5612,-2570.3763,-495.7714,1753.8246,-893.9077,-3487.6893,-119282.3225,-99483.5657,-115161.6164,-119821.7508,-111518.3781,-115127.7435,-113765.5270,-117161.5429,-103360546.7090,-103341532.2591,-103330184.8922,-103358784.8575,-115713.1863,-103351731.7566,-4883.6073,2533.4808,-4661.0203,-5229.5593,-5246.9943,1959.2774,5650.6741,-4991.4153,4114.6753,-3107.0249,-752.9981,-3748.3892,3437.2068,1093.0815,2879.8753,4374.7552,-4979.9178,4702.9328,-5341.0080,-95.2575,-26014.1897,-26411.5903,-27119.4741,-20973.7545,-20684.6115,-30852.7962,-33776.7814,-26694.5401,65338717.1873,65318009.2836,65333786.2078,65339604.7158,-25909.6738,65348177.7456,
3600.000,3267.1425,6645.2615,-4525.9371,1108.0801,-3386.1391,6075.4123,4080.0013,350.4836,2945.3137,5200.7699,-5945.3066,5147.1360,-4419.6762,-6801.4857,-6662.0040,3971.8331,3568.1089,-3964.1322,-3990.5682,-6300.3453,347819.4607,334782.3464,348131.2033,344827.4844,347679.6446,347049.3300,338943.4290,342943.5715,-116581541.4697,-116596376.4530,-116597236.5592,-116602823.3822,342107.9286,-116597438.0778,-2440.3041,-1646.4091,-2412.4600,2492.1184,-2286.4715,-793.8452,3620.0572,-4132.0909,-3650.0273,-1136.7378,2542.9751,1275.6335,-1833.4325,-1092.6018,1193.3494,-4423.8395,-2224.4310,3711.2230,1246.0744,-2293.7526,-111694.2943,-92489.2366,-108096.5978,-112641.3038,-104301.0623,-107885.6948,-106633.0594,-110043.6627,-105930732.1496,-105911985.0598,-105900514.9621,-105929380.2501,-108528.5874,-105921880.4775,-5369.7326,1111.1507,-4676.3103,-6390.8207,-5364.2803,3241.7232,4302.4715,-5463.0217,5086.5942,-4423.7076,-2483.4859,-4478.7193,5037.0497,-717.8045,1517.5871,3564.8242,-5499.3466,4306.1914,-5526.0429,1701.3794,-25908.0384,-26268.3720,-26877.0775,-20983.0902,-20404.7297,-30468.8787,-33748.2416,-26076.3612,65337011.7096,65316213.8596,65331672.1481,65338020.4220,-25753.4117,65346302.9055,
3900.000,1638.9230,6197.2713,-5501.8220,-445.6075,-4642.3804,4981.5552,5362.8314,-1820.1018,855.9104,3731.5911,-4574.0830,5004.9197,-3307.2822,-6476.6497,-6392.7465,2872.6148,2046.1280,-2807.6199,-3326.6333,-6008.1578,349976.1536,336741.7251,350365.7296,346971.8372,349871.2183,349273.9326,341226.0254,345304.0231,-114237484.2951,-114252509.9476,-114253843.1388,-114258418.3623,344319.3135,-114253462.5436,-3922.7638,-3088.7705,-554.9054,896.7260,-544.0076,-2400.8250,3646.2462,-3910.5494,-4091.1972,-2503.6632,3390.0535,-857.1923,-246.2109,186.8874,2696.3381,-5847.7941,-3776.2805,5317.5156,3275.6361,-854.9872,-104056.4097,-85451.4404,-100982.8812,-105411.8570,-97037.0453,-100595.2596,-99449.6263,-102748.6091,-108450259.8823,-108431784.9817,-108420210.7936,-108449291.4792,-101295.7609,-108441374.7866,-5233.6535,-430.0550,-4193.7924,-6875.8430,-4860.1093,4177.2477,2497.3854,-5332.9092,5512.3082,-5265.5272,-3947.5169,-4732.2667,6102.5627,-2451.6119,-7.0045,2373.5561,-5429.5135,3448.8506,-5120.6613,3314.6069,-25801.6197,-26125.0917,-26632.5208,-20998.9246,-20128.2849,-30078.4971,-33714.5126,-25432.2145,65335310.4258,65314422.0723,65329561.3282,65336452.8369,-25597.1290,65344428.0582,
4200.000,-121.3071,5148.0347,-5977.5145,-1879.2123,-5440.6057,3424.4596,6085.9793,-3808.6156,-1312.9471,1920.6925,-2746.9536,4425.4687,-1917.9759,-5517.9945,-5505.0047,1518.1036,367.0973,-1411.9744,-2391.5567,-5138.3523,351954.8659,338553.7854,352443.8941,348960.7798,351907.6774,351338.2302,343358.2460,347427.9267,-111838996.9468,-111854201.3433,-111856012.1994,-111859559.5030,346377.7555,-111855058.6461,-5027.8093,-4236.0148,1329.5550,-858.1779,1216.1055,-3810.7538,3331.5071,-3352.2182,-4189.3396,-3675.8577,3946.5262,-2915.2145,1421.6809,1474.5934,3938.4681,-6704.1690,-4996.3487,6414.6950,4992.4366,700.7320,-96372.8991,-78373.2412,-93823.6599,-98136.3573,-89729.5754,-93260.0786,-92218.2874,-95288.3732,-110917929.5310,-110899731.2587,-110888071.7751,-110917315.9749,-94017.9215,-110909014.3895,-4491.0460,-1925.3131,-3264.4992,-6633.8932,-3792.4443,4665.8789,426.8937,-4615.3574,5346.1975,-5542.8914,-4988.7371,-4482.1823,6521.2167,-3922.4682,-1530.8696,928.3560,-4777.9162,2222.5318,-4167.9106,4570.5578,-25694.8169,-25981.7478,-26385.9724,-21021.4331,-19855.2651,-29681.5713,-33675.6490,-24801.1859,65333613.2575,65312633.9730,65327453.8116,65334901.8244,-25440.8257,65342553.2037,
4500.000,-1830.1610,3594.5023,-5899.2064,-3039.3217,-5684.6882,1558.1305,6187.9209,-5410.7423,-3345.2385,-50.0046,-645.1069,3462.1674,-397.9534,-4026.6045,-4079.8459,25.5970,-1307.6349,99.2071,-1266.8187,-3786.2306,353753.5706,340217.7203,354364.7314,350793.1543,353788.2634,353240.8263,345338.9884,349305.0478,-109387226.3897,-109402597.4575,-109404889.8432,-109407395.5029,348282.3392,-109403373.2029,-5629.3129,-4991.0551,3064.4342,-2579.6459,2813.0685,-4890.8540,2683.2259,-2505.3686,-3932.6330,-4539.7183,4169.8505,-4698.7289,3003.6268,2659.1408,4813.6187,-6910.7810,-5757.6578,6893.8998,6223.6240,2230.1003,-88648.1302,-71257.7198,-86622.1502,-90817.7372,-82381.9179,-85883.8512,-84942.1344,-87685.4125,-113332565.5219,-113314647.9193,-113302922.0647,-113332275.9984,-86698.3038,-113323623.7874,-3227.3835,-3215.0183,-1987.0061,-5690.1784,-2284.3889,4655.4813,-1688.9868,-3388.8976,4605.9600,-5226.4074,-5496.4506,-3754.8633,6248.8327,-4973.3261,-2891.3056,-616.1501,-3613.9224,758.4093,-2769.0866,5334.0463,-25587.4870,-25838.3391,-26137.6040,-21050.7980,-19585.6587,-29278.0275,-33631.7027,-24220.7575,65331920.1243,65310849.6140,65325349.6621,65333367.2178,-25284.5020,65340678.3420,
4800.000,-3314.0333,1683.4258,-5264.2809,-3809.2361,-5334.6301,-435.9256,5672.2615,-6461.1251,-5039.1854,-1986.2461,1523.0691,2200.6502,1100.1908,-2154.9382,-2251.3103,-1475.2285,-2821.4321,1593.4793,-47.7516,-2092.2802,355370.2100,341732.7874,356127.3489,352467.8424,355512.2809,354980.3596,347167.2181,350933.8468,-106883344.9722,-106898870.5033,-106901647.5647,-106903100.6151,350032.2178,-106899578.4122,-5650.7713,-5293.3949,4489.8105,-4071.8136,4087.1975,-5535.9979,1742.9922,-1441.7790,-3337.8293,-5005.8721,4044.1763,-6033.5181,4335.3953,3634.9798,5250.2382,-6449.4364,-5974.5778,6706.5902,6843.4853,3587.5829,-80886.6334,-64107.9731,-79381.5897,-83458.9085,-74997.3536,-78470.3381,-77624.2900,-79970.3068,-115693017.6430,-115675384.3478,-115663611.1509,-115693019.2091,-79340.1612,-115684052.8372,-1588.6469,-4161.9125,-497.2938,-4143.4969,-510.5978,4147.1982,-3625.6138,-1788.1858,3370.8184,-4349.7658,-5416.8904,-2627.3213,5314.0076,-5492.4819,-3943.4476,-2094.8335,-2061.7948,-786.8505,-1073.4427,5523.0043,-25479.4534,-25694.8638,-25887.5910,-21087.2074,-19319.4547,-28867.8007,-33582.7227,-23723.5109,65330230.9442,65309069.0486,65323248.9437,65331848.8148,-25128.1579,65338803.4731,
5100.000,-4426.7065,-402.8429,-4123.0908,-4120.8643,-4413.1547,-2366.4256,4605.6112,-6850.9046,-6227.5505,-3700.2918,3542.5035,751.6084,2432.7383,-90.8285,-193.4467,-2853.4788,-4036.9094,2941.0655,1164.0528,-227.2525,356802.6796,343098.3094,357730.9272,353983.7632,357079.0984,356555.4994,348841.9687,352321.4571,-104328549.8659,-104344217.5298,-104347481.6918,-104347874.0934,351626.6135,-104344871.2923,-5075.5322,-5123.3398,5477.2039,-5158.0480,4916.0560,-5678.9775,584.6832,-251.3233,-2449.7290,-5018.4296,3581.0251,-6788.0104,5272.2410,4311.3740,5216.6164,-5367.3939,-5612.8843,5869.6409,6786.8854,4639.1953,-73093.1364,-56927.1124,-72105.2362,-76062.7537,-67579.1774,-71023.3644,-70267.9052,-72178.7255,-117998161.5925,-117980815.8320,-117969014.4003,-117998419.2206,-71946.7642,-117989177.2992,235.0126,-4665.5411,1045.5752,-2156.7202,1322.6498,3195.3190,-5178.1104,10.3080,1773.2835,-3006.3693,-4758.5427,-1219.3556,3815.3143,-5424.9546,-4575.6063,-3349.9310,-287.8901,-2248.0411,737.4102,5117.0835,-25370.4972,-25551.3205,-25636.1120,-21130.8548,-19056.6430,-28450.8383,-33528.7558,-23334.5527,65328545.6331,65307292.3309,65321151.7210,65330346.3726,-24971.7937,65336928.5970,
5400.000,-5063.9770,-2463.8521,-2575.5006,-3961.0813,-3005.4196,-4050.7177,3108.5692,-6539.6944,-6794.6519,-5029.0175,5212.4773,-758.5135,3478.6803,1961.3319,1896.4266,-3988.2679,-4848.4946,4025.9848,2268.8346,1625.1372,358048.8101,344313.6741,359174.7204,355339.8699,358488.1488,357964.9396,350362.3424,353482.7969,-101724062.4927,-101739859.8494,-101743612.8142,-101742939.6261,353064.8172,-101740473.1094,-3950.8866,-4502.5288,5941.3491,-5702.1760,5226.4254,-5297.6971,-691.1607,965.0393,-1338.4404,-4561.8843,2818.2870,-6886.7014,5704.9727,4620.4976,4722.4719,-3772.1028,-4695.0903,4463.6625,6056.6988,5275.7154,-65272.6109,-49718.2620,-64796.3651,-68632.1168,-60130.6971,-63546.8235,-62876.1582,-64348.1731,-120246899.5141,-120229844.0994,-120218033.5940,-120247376.1453,-64521.3988,-120237899.3728,2031.2444,-4672.5953,2476.5412,59.6259,3001.6368,1901.5860,-6183.1056,1807.6297,-14.9389,-1339.8637,-3591.2845,318.9165,1911.3625,-4777.9374,-4720.8366,-4247.9365,1516.9953,-3469.2858,2469.0001,4159.7881,-25260.3440,-25407.7076,-25383.3481,-21181.9368,-18797.2141,-28027.1057,-33469.8462,-23069.8714,65326864.1053,65305519.5159,65319058.0587,65328859.6007,-24815.4094,65335053.7138,
