sl_10_5400_20241014 Coordinates.csv
2024/10/14 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:19 2024,
Start: 2024/10/14 07:47:00.00, Stop: 2024/10/14 09:17:00.00,
TIME_UNITS,STARLINK-2228 - X-Coordinate,STARLINK-1618 - X-Coordinate,STARLINK-11273 [DTC] - X-Coordinate,STARLINK-2431 - X-Coordinate,STARLINK-3914 - X-Coordinate,STARLINK-5308 - X-Coordinate,STARLINK-5761 - X-Coordinate,STARLINK-5398 - X-Coordinate,STARLINK-3881 - X-Coordinate,STARLINK-11134 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-2228 - Y-Coordinate,STARLINK-1618 - Y-Coordinate,STARLINK-11273 [DTC] - Y-Coordinate,STARLINK-2431 - Y-Coordinate,STARLINK-3914 - Y-Coordinate,STARLINK-5308 - Y-Coordinate,STARLINK-5761 - Y-Coordinate,STARLINK-5398 - Y-Coordinate,STARLINK-3881 - Y-Coordinate,STARLINK-11134 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-2228 - Z-Coordinate,STARLINK-1618 - Z-Coordinate,STARLINK-11273 [DTC] - Z-Coordinate,STARLINK-2431 - Z-Coordinate,STARLINK-3914 - Z-Coordinate,STARLINK-5308 - Z-Coordinate,STARLINK-5761 - Z-Coordinate,STARLINK-5398 - Z-Coordinate,STARLINK-3881 - Z-Coordinate,STARLINK-11134 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
2700.000,-3107.0303,-3866.5935,6104.5617,-5875.3766,5597.5400,-1722.7023,4894.0289,3428.5942,5638.5438,-838.7074,348129.5109,353080.5150,358555.1412,355448.2699,358294.9337,357478.8289,349283.8245,353285.9187,-124836933.6172,-124863388.6699,-124849976.5762,-124847164.7119,352609.9587,-124851330.3937,-4674.7967,1598.8280,-104.6701,-224.7802,-4042.9554,-3251.5176,-1381.4555,3756.1935,-1477.2870,-6667.1343,-56151.9651,-44479.3746,-54636.3164,-59481.4095,-51305.0678,-54945.4726,-53217.9401,-55799.5923,-97604502.2509,-97550148.2976,-97572365.7856,-97595038.2099,-55334.7798,-97592748.3410,-4059.8513,5503.7454,-2806.3004,3649.3998,-428.6868,-5901.0060,4707.7306,-4723.8576,3715.0207,486.6849,-68871.8700,-71006.3150,-71250.8833,-64623.0474,-64908.0152,-75255.8084,-77468.2280,-68281.9455,65883052.7523,65900431.9851,65875856.2429,65897146.6100,-69873.9185,65891535.6172,
3000.000,-3774.1585,-2699.7130,5045.4245,-6483.3805,4527.9938,-2205.1454,4218.8828,4791.3479,5821.0395,-2019.1980,349069.7032,354059.1115,359686.0759,356487.1358,359383.0030,358612.2918,350444.9692,354204.5510,-122672732.1529,-122700205.1694,-122686437.3410,-122682919.1348,353709.7206,-122687212.8720,-2860.3150,3432.4003,-1470.7433,1195.1513,-4751.5211,-1178.9806,-3393.6687,2097.7839,-3023.5130,-6286.9142,-49126.5532,-37201.6822,-47319.2082,-52047.3343,-43831.0957,-47451.9662,-45838.0173,-47913.0086,-100306464.2490,-100252230.9941,-100274481.4508,-100296067.3010,-47896.6895,-100294676.9424,-5057.1482,5359.8930,-4189.0034,2111.0375,-2192.5164,-6489.5023,4326.5185,-4562.5449,2186.6915,-1346.2225,-68621.4059,-70864.9172,-71024.1938,-64630.6424,-64631.9808,-74895.4594,-77461.1242,-67997.3793,65881371.8071,65898366.4800,65873763.5326,65895422.5507,-69728.5201,65889663.2937,
3300.000,-4125.9831,-1317.8531,3456.1794,-6458.0504,2995.5010,-2549.5305,3176.6705,5723.8817,5440.4070,-2997.5255,349886.0243,354887.9317,360656.8524,357367.2054,360311.4477,359582.7768,351452.3568,354909.8369,-120450069.3291,-120478560.5256,-120464429.6960,-120460293.8118,354652.5608,-120464635.7600,-764.2665,4955.0280,-2723.6019,2474.6960,-5009.0985,999.0262,-5083.0322,267.8465,-4250.0660,-5226.1926,-42081.6683,-29906.0060,-39979.8307,-44591.1097,-36336.7296,-39935.6449,-38433.9618,-40012.4848,-102960450.9116,-102906364.0451,-102928645.2054,-102949107.6258,-40436.7997,-102948633.6094,-5513.5396,4639.4211,-5080.7820,345.6511,-3720.3802,-6393.2068,3482.5997,-3915.5069,422.3976,-3022.2959,-68374.9762,-70723.0636,-70794.9841,-64644.3736,-64359.3772,-74528.7844,-77448.6809,-67842.7204,65879694.6010,65896300.6022,65871674.4157,65893641.9320,-69583.0684,65887790.9601,
3600.000,-4133.2678,148.4547,1514.7865,-5793.8086,1144.5098,-2719.5301,1860.2544,6130.7201,4521.2917,-3688.3459,350575.9998,355566.6909,361466.9788,358087.8793,361080.0110,360389.4419,352305.3756,355420.4563,-118170008.3137,-118199517.1936,-118185015.9354,-118180352.9569,355438.0485,-118184662.0774,1405.0480,6010.3046,-3737.1913,3505.1509,-4806.2151,3061.0706,-6284.0387,-1561.0857,-5049.7798,-3598.0342,-35018.7446,-22595.5397,-32621.4660,-37115.8313,-28825.3232,-32400.1713,-31008.9002,-32135.8004,-105565197.6126,-105511282.8858,-105533592.1670,-105552906.6711,-32958.4216,-105553353.7890,-5380.7035,3419.5769,-5378.0510,-1456.9181,-4848.5306,-5622.2706,2266.1464,-2851.2170,-1387.4854,-4346.8157,-68132.3191,-70580.7336,-70563.4139,-64664.4019,-64090.1913,-74155.6977,-77430.9583,-67816.7336,65878021.0456,65894234.3617,65869588.9575,65891803.4892,-69437.5635,65885918.6163,
3900.000,-3793.6923,1565.3783,-565.7588,-4549.5174,-846.6903,-2687.3819,385.4925,5964.1483,3142.6060,-4033.6263,351137.4455,356095.1735,362116.0365,358648.6074,361688.4996,361031.4925,353003.4824,355758.7400,-115833639.6249,-115864164.9759,-115849285.7126,-115844186.4662,356065.8228,-115848382.1912,3432.4834,6485.8401,-4404.7412,4203.6004,-4175.4302,4798.9260,-6878.5125,-3219.2746,-5359.4233,-1577.5012,-27939.5368,-15273.4881,-25247.4082,-29624.5773,-21300.2357,-24849.2481,-23565.9810,-24315.9154,-108119463.2798,-108065746.4842,-108088080.9747,-108106235.6082,-25464.8748,-108107596.4760,-4672.7787,1831.4566,-5046.4588,-3103.0815,-5456.6211,-4257.4090,807.2557,-1482.6823,-3047.9078,-5166.6223,-67893.1893,-70437.9054,-70329.6471,-64690.8957,-63824.4102,-73776.1153,-77408.0135,-67909.0354,65876351.0512,65892167.7682,65867507.2235,65889907.0323,-69292.0055,65884046.2625,
4200.000,-3132.2925,2807.9489,-2560.5644,-2843.0120,-2783.2706,-2437.9638,-1118.7707,5230.1652,1430.6556,-4006.6174,351568.4353,356473.2334,362603.6808,359048.8864,362136.7843,361508.1785,353546.2027,355948.8303,-113442080.6096,-113473620.5017,-113458355.5189,-113452909.4246,356535.5925,-113456913.2945,5117.0897,6325.7549,-4649.6692,4519.1116,-3186.3054,6038.5543,-6807.6120,-4555.4883,-5164.1682,617.7877,-20846.0451,-7943.0662,-17860.9614,-22120.4031,-13764.8301,-17286.6198,-16108.3722,-16579.1005,-110622030.9865,-110568537.9326,-110590894.3809,-110607889.4602,-17959.4857,-110610144.8041,-3464.9402,46.0491,-4124.5498,-4416.6240,-5480.0547,-2442.0298,-737.9869,44.2689,-4380.5100,-5387.3663,-67657.3600,-70294.5551,-70093.8516,-64724.0304,-63562.0219,-73389.9573,-77379.9010,-68101.2373,65874684.5261,65890100.8312,65865429.2798,65887953.4449,-69146.3945,65882173.8985,
4500.000,-2200.1698,3771.0602,-4256.7475,-839.3974,-4472.7115,-1972.5509,-2521.8495,3989.3992,-452.7760,-3613.1464,351867.2713,356700.7943,362929.6412,359288.2585,362424.8005,361818.7904,353933.1311,356014.7972,-110996474.9089,-111029026.6929,-111013368.1508,-111007661.6902,356847.1370,-111011398.8719,6291.9911,5537.5715,-4434.3902,4435.5627,-1937.5569,6658.0137,-6077.8488,-5450.9407,-4496.9177,2751.1676,-13740.4595,-607.4987,-10465.4385,-14606.3351,-6222.4718,-9716.0744,-8639.2600,-8943.6919,-113071708.5315,-113018465.0272,-113040839.8313,-113056687.2861,-10445.5866,-113059806.6258,-1885.8485,-1744.3450,-2719.5498,-5257.5582,-4916.4167,-367.7884,-2204.3892,1566.4624,-5242.7884,-4983.7802,-67424.6228,-70150.6574,-69856.1995,-64763.9882,-63303.0147,-72997.1495,-77346.6727,-68368.4175,65873021.3775,65888033.5603,65863355.1930,65885944.6174,-69000.7306,65880301.5245,
4800.000,-1071.2922,4378.1722,-5476.0810,1265.3228,-5743.6550,-1311.4872,-3702.4400,2352.4993,-2325.9154,-2890.5397,352032.4597,356777.8502,363093.7213,359366.3079,362552.5489,361962.6552,354163.9318,355978.8008,-108497991.9110,-108531552.2177,-108515492.1637,-108509607.5427,357000.3057,-108513008.1530,6841.3105,4192.3688,-3766.0888,3971.1985,-547.3235,6600.2138,-4760.3388,-5829.9843,-3433.0414,4592.0891,-6625.1192,6729.9811,-3064.1592,-7085.3636,1323.4729,-2141.4462,-1161.8464,-1419.4241,-115467329.0069,-115414360.8361,-115436750.0333,-115451472.4138,-2926.5135,-115455415.0798,-104.3885,-3347.2118,-995.4911,-5536.6564,-3825.6831,1745.4656,-3435.5213,2920.9894,-5542.9479,-4002.3419,-67194.7871,-70006.1847,-69616.8658,-64810.9574,-63047.3777,-72597.6269,-77308.3778,-68680.8042,65871361.5106,65885965.9651,65861285.0298,65883883.3235,-68855.0140,65878429.1403,
5100.000,162.6983,4586.8370,-6094.1217,3263.4204,-6463.2915,-495.0553,-4558.8281,470.2675,-4004.4149,-1904.4056,352062.6896,356704.4651,363095.7997,359282.6584,362520.0954,361939.1311,354238.3380,355859.3613,-105947826.1920,-105982390.9321,-105965921.3140,-105959935.3728,356995.0185,-105962935.5534,6712.2181,2418.0481,-2698.3790,3175.4250,857.6696,5878.6570,-2983.4387,-5666.3799,-2081.5748,5940.7693,497.5176,14066.1311,4339.5515,439.5651,8869.6383,5433.3815,6320.6526,5992.7204,-117807751.3539,-117755084.2553,-117777483.5121,-117791112.7467,4594.3949,-117795829.1475,1688.2594,-4590.8136,845.5158,-5224.4239,-2324.2088,3673.3463,-4300.4470,3962.8875,-5249.1666,-2556.2378,-66967.6790,-69861.1072,-69376.0289,-64865.1313,-62795.1007,-72191.3369,-77265.0630,-69005.6045,65869704.8294,65883898.0548,65859218.8575,65881773.0577,-68709.2446,65876556.7461,
5400.000,1399.4590,4390.6828,-6053.4361,4955.6611,-6551.6681,417.8841,-5017.2019,-1480.4421,-5319.1898,-743.3436,351956.8156,356480.7740,362935.8299,359036.9705,362327.5719,361747.6015,354156.1532,355669.7940,-103347196.9442,-103382761.3092,-103365873.9889,-103359857.3845,356831.2657,-103362400.1037,5920.4415,386.6354,-1328.0233,2123.4941,2153.3331,4575.2115,-919.8017,-4984.5749,-574.0487,6650.1191,7624.8975,21397.7015,11742.3649,7965.5583,16412.6608,13004.4724,13805.0084,13300.1844,-120091860.9066,-120039520.5520,-120061925.1549,-120074501.1518,12113.7986,-120079934.1961,3299.3647,-5342.5085,2587.0404,-4353.9897,-572.8014,5211.2950,-4707.4531,4580.7799,-4392.7220,-812.8835,-66743.1398,-69715.3925,-69133.8700,-64926.7066,-62546.1743,-71778.2443,-77216.7723,-69308.9537,65868051.2364,65881829.8388,65857156.7439,65879617.8516,-68563.4227,65874684.3418,
